ITEM_NO,DESCR,STK_UNIT
10245,Rudbeckia fulgida Var. Fulgida,2 GAL
10246,Rudbeckia t. Blackjack Gold,2 GAL
10247,Rudbeckia t. Prairie Glow,2 GAL
10251,Calluna v. County Wicklow,1 GAL
10252,Calluna v. Winter Chocolate,1 GAL
10253,Calluna v. Beauty Ladies Luca,1 GAL
10254,Calluna v. Beauty Ladies Magda,1 GAL
10255,Phlox p. Volcano® Lipstick,2 GAL
10256,Phlox p. Volcano® White,2 GAL
10257,Phlox s. Scarlet Flame,1 GAL
10258,Phlox x Violet Pinwheels,1 GAL
10259,Achillea m. Skysail Yellow,1 GAL
10261,Ilex c. Schwoebel Upright,10 gal
10268,Rudbeckia Viette's Little Suzy,1 GAL
10270,Actaea simplex Brunette,1 GAL
10444,Erigeron pul. Lynnhaven Carpet,1 GAL
10445,Pachysandra t. Green Carpet,"3"""
10446,Perovskia a. Denim 'n Lace® PW,2 GAL
10447,Tierella Cordifolia,1 GAL
10448,Tiarella cordifolia,1 GAL
10450,Phlox p. Volcano® White,1 GAL
10539,Achillea Pomegranate,1 GAL
10540,Dianthus Classic Coral PW,1 GAL
10541,Dianthus Paint the Town Fan®PW,1 GAL
10542,Helleborus Illumi Lime,1 GAL
10543,Thymus Mother of Thyme,24 Cell Tray
10544,Thymus Red Creeping Thyme,24 Cell Tray
10545,Sagina subulata,6-Pack
10546,Sedum rupestre Angelina,6-Pack
10547,Thymus serpyll. 'Magic Carpet',24 Cell Tray
10548,Thymus Mother of Thyme,6-Pack
10555,Ajuga rep. Chocolate Chip (GC),1 GAL
10556,Astilbe x a .Deutschland,2 GAL
10557,Astilbe x j. Rheinland,2 GAL
10559,Coreopsis v. Creme Brulee,1 GAL
10560,Helleborus HGC® Ice N Roses® R,1 GAL
10561,Helleborus Mahogany Snow,1 GAL
10562,Hydrangea q. Toy Soldier,3 GAL
10575,Paeonia l. Sarah Bernhardt Pin,2 GAL
10642,Heuchera Dressed Up Evening Go,1 GAL
10655,Baptisia Blueberry Sundae® PW,2 GAL
10656,Baptisia Sparkling Sapphir® PW,2 GAL
10657,Coreopsis grand. Solar Jewel,2 GAL
10658,Coreopsis grand. Solar Mellow,2 GAL
10659,Coreopsis grand. Solar Moon,2 GAL
10660,Fern-Athyrium Crested Surf PW,1 GAL
10662,Lavandula x. i. Provence,2 GAL
10663,Lavendula x. i. Eternal Elegan,"6"""
10665,Phlox p. Luminary® Pink Lig PW,1 GAL
10666,Yucca Color Guard,3 GAL
10688,Asclepias incarnata,2 GAL
10689,Asclepias i. Ice Ballet,2 GAL
10690,Heuchera d. Silver Gumdrop,1 GAL
10699,Astilbe Black Pearls,2 GAL
10700,Geranium Intense,1 GAL
10702,Lavandula x. i. Phenomenal®,2 GAL
10703,Lupinus p. Westcountry Rachel,2 GAL
10704,Asclepias incarnata,Qt.
10705,Lamium m. Pink Pewter,Qt.
10706,Leucanthemum s. Marshmallow,Qt.
10707,Rudbeckia f. var. deamii,Qt.
10708,Sedum spec. Autumn Fire,Qt.
10709,Sempervivum arachn. Blue Ice,Qt.
10710,Sempervivum Colorockz Coral Re,Qt.
10711,Digitalis p. Dalmation Peach,1 GAL
10712,Digitalis p. Camelot Lavender,1 GAL
10713,Clematis Poseidon,"8"""
10714,Clematis x. Lindsay™,"8"""
10715,Clematis Boulevard Nubia™,"8"""
10716,Iris v. Purple Flame,1 GAL
10721,Cimicifuga Actaea Simplex Brun,1 GAL
10739,Eutrochium maculatum,2 GAL
10747,Asclepias i. Soulmate,2 GAL
10750,Monarda d. Jacob Cline,2 GAL
10751,Phlox s. Emerald Blue,2 GAL
10752,Phlox s. Emerald Pink,2 GAL
10758,Sedum x Sunsparkler® Lime Zing,1 GAL
10761,Achillea m. Strawberry Seduct.,2 GAL
10762,Delphinium d. Neva,1 GAL
10763,Delphinium d. Shelby,1 GAL
10764,Dianthus x. Fruit Punch® Spike,1 GAL
10765,Dicentra spectabilis Alba,1 GAL
10766,Digitalis grandiflora Carillon,1 GAL
10767,Eryngium yuccifolium,1 GAL
10768,Helenium Autumnale,2 GAL
10769,Paeonia l. Monsieur Jules Elie,3 GAL
10770,Penstemon digitalis,1 GAL
10771,Phlox s. Candy Stripe,1 GAL
10772,Phlox s. Spring Hot Pink,1 GAL
10773,Tiarella x Cutting Edge,1 GAL
10774,Voila Penny Orange Jump Up,1 GAL
10775,Viola Penny Orange Jump Up,1 GAL
10776,Stokesia Totally Stoked Whitec,1 GAL
10778,Achillea Firefly Fushsia PW,1 GAL
10779,Campanula c. Blue Waterfall,1 GAL
10780,Coreopsis grand. Enchanted Eve,1 GAL
10781,Delosperma Ocean Sunset™ Orang,1 GAL
10782,Delosperma Ocean Sunset™ Viole,1 GAL
10783,Dendranthema Harvest Igloo,1 GAL
10784,Dendranthema Pumpkin Igloo,1 GAL
10785,Eutrochium dub. Little Joe,2 GAL
10786,Eutrochium dub. Phantom,2 GAL
10787,Heucherella Catching Fire,2 GAL
10788,Heucherella Pumpkin Spice,1 GAL
10792,Echinacea PowWow® White,2 GAL
10793,Echinacea PowWow® Wild Berry,2 GAL
10794,Galium odoratum,2 GAL
10795,Polemonium Golden Feathers,1 GAL
10796,Rudbeckia f. var. deamii,1 GAL
10813,Nepeta x f. Purrsian Blue,2 GAL
10814,Nepeta m. Blue Wonder,2 GAL
10815,Phlox s. Snowflakes,1 GAL
10822,Lavandula x. i. Provence,"6"""
10823,Allium Bobblehead,1 GAL
10824,Brunnera m. Silver Heart,1 GAL
10827,Dianthus Kahori® Pink,1 GAL
10828,Dianthus Mountain Frost™ Pink,1 GAL
10829,Dianthus Scent First® Passion,1 GAL
10833,Phlox p. Flame® Coral,1 GAL
10842,Fern-Dryopteris australis Dixi,1 GAL
10844,Lilium Fantasiatic Orange,1 GAL
10845,Lilium Fantasiatic Raspberry,1 GAL
10846,Lilium Fantasiatic White,1 GAL
10847,Lupinus Gallery Blue,2 GAL
10848,Lupinus Gallery Red,2 GAL
10849,Monarda x Sugar Buzz®Blue PW,2 GAL
10850,Penstemon b. Mission Bells™ DR,1 GAL
10852,Cornus canadensis,1 GAL
10853,Asarum canadense,1 GAL
10854,GR-Carex lax. Hobb Bunny Blue,1 GAL
10856,Baptisia Lunar Eclipse,3 GAL
10857,Baptisia Solar Flare,3 GAL
10860,Geranium Johnsons Blue,2 GAL
10883,Iris e. Moonlight Waves,2 GAL
10884,Iris e. Pinkerton,2 GAL
10885,Penstemon d. Blackbeard,1 GAL
10891,Salvia Color Spires® Cristo PW,1 GAL
10892,Salvia n. Perfect Profusion®PW,1 GAL
10897,Achillea Firefly Red Pop PW,1 GAL
10898,Achillea Pomegranate,2 GAL
10899,Aruncus dioicus,3 GAL
10900,Digitalis p. Camelot Rose,2 GAL
10901,Digitalis p. Dalmation Peach,2 GAL
10902,Echinacea Sombrero™ Poco White,1 GAL
10903,Hibiscus m. Dark Mystery,2 GAL
10904,Hibiscus m. Garnet Globes,2 GAL
10905,Iris fulva,1 GAL
10906,Knipholia Solar Flare PW,1 GAL
10914,Yucca Color Guard,2 GAL
10922,GR-Bouteloua Gracilis,1 GAL
10927,Calamintha n. Montrose White,1 GAL
10942,Baptisia Periwinkle Popsicle,2 GAL
10944,Brunnera m. Garden Candy Sea,1 GAL
10946,Coreopsis Li'l Bang® Starstruc,2 GAL
10947,Erica x. darl. Kramers Red,2 GAL
10948,Heuchera villosa,1 GAL
10949,Hibiscus Summer® All Eyes on M,3 GAL
10950,Hibiscus m. Berry Awesome® PW,3 GAL
10951,Penstemon d. Husker Red,1 GAL
10952,Perovskia a. Jelena,1 GAL
10953,Perovskia a. Sage Advice PW,2 GAL
10955,Fern-Polystichum polyblepharum,1 GAL
10956,Fern-Polystichum acrostichoide,1 GAL
10960,Thymus coccineus,"3"""
10962,Hibiscus m. Summer® Cherry PW,3 GAL
10963,Coreopsis a. Leading Lady™,1 GAL
10964,Coreopsis UPTICK™ Cream,1 GAL
10965,Digitalis p. Camelot Lavender,2 GAL
10966,Digitalis x Pink Panther,1 GAL
10967,Echinacea Summersong® Fire PW,1 GAL
10968,Coreopsis UPTICK™ Yellow Red,1 GAL
10970,Coreopsis UPTICK™ Gold,1 GAL
10971,Perovskia a. Lisslitt - Lacey,1 GAL
10977,Phlox x Opening Act Blush® PW,1 GAL
10992,Rudbeckia f. Little Goldstar,2 GAL
11023,Anemone Curtain Call Pink,1 GAL
11024,Anemone Fall in Love Sweelty,1 GAL
11025,Achillea Milly Rock Red,1 GAL
11026,Achillea Milly Rock Yellow Ter,1 GAL
11027,Aruncus x Goatee,1 GAL
11028,Polygonatum o. Variegatum,1 GAL
11033,Astilbe x c. Dark Side® PW,2 GAL
11034,Echinacea x Artisan™ Red Ombre,1 GAL
11042,Aster n. Kickin® Sapphire,2 GAL
11043,Coreopsis Li'l Red® Elf,1 GAL
11044,Echinacea p. Green Twister,2 GAL
11045,Echinacea Sunmagic Vintage Pin,1 GAL
11046,Echinacea Sunmagic Vintage Rub,1 GAL
11047,Geranium m. Espresso,1 GAL
11048,Heuchera d. Apple Twist PW,1 GAL
11049,Rudbeckia x American Gold Rush,1 GAL
11056,Hibiscus m. Edge of Night® PW,3 GAL
11057,Hibiscus m. Summer® Holy PW,3 GAL
11062,Thymus Mother of Thyme,18 cell Tray
11064,Actinidia Arguta Issai,2 GAL
11065,Aristolochia Macrophylla,2 GAL
11066,Baptisia Blueberry Sundae® PW,1 GAL
11073,EchinaceaSummersong Firefinch,1 GAL
11074,Hedera helix,1 GAL
11076,Coreopsis Li'l Bang® Darling C,1 GAL
11077,Euphorbia Urge to Splurge,1 GAL
11085,Perovskia a. Sage Advice PW,1 GAL
11089,Sedum spur. John Creech,2 GAL
11118,Paeonia x Bartzella,3 GAL
11119,Paeonia x Cora Louise-Itoh,3 GAL
11120,Paeonia x First Arrival,3 GAL
11121,Paeonia x Scarlet Heaven,3 GAL
11134,Achillea Little Moonshine,1 GAL
11135,Achillea x Moonshine,1 GAL
11136,Aquilegia Kirigami Blue & Whit,1 GAL
11137,Aquilegia Kirigami Rose and Pi,1 GAL
11138,Aquilegia Kirigami Yellow,1 GAL
11141,Baptisia  a. Indigo Spires®,1 GAL
11148,Ilex c. Schwoebel Upright,20 gal
11184,Paeonia x Gordon E Simonson,3 GAL
1273,Echinacea PowWow® White,1 GAL
1276,Echinacea Sombrero™ Salsa Red,1 GAL
1313,GR-Panicum v. Shenandoah,2 GAL
1324,Hemerocallis Happy Returns,2 GAL
1364,Nepeta x f. Walker's Low,2 GAL
1365,Nepeta x f. Junior Walker,1 GAL
1370,Phlox p. Flame® Coral,2 GAL
1375,Sagina subulata,PINT
1717,Geranium Rozanne,1 GAL
1723,Lavandula a. Hidcote,1 GAL
1724,Leucanthemum s. Becky,1 GAL
1725,Nepeta x f. Walker's Low,1 GAL
1726,Perovskia atriplicifolia,2 GAL
1731,Veronica spicata Red Fox,1 GAL
1747,Salvia Caradonna,1 GAL
1779,Vinca minor,FLAT 24 CELL
1780,Pachysandra terminalis,FLAT
1817,Geranium Biokovo,1 GAL
1905,Coreopsis v. Moonbeam,1 GAL
1916,Lamium m. Purple Dragon,1 GAL
1918,Leucanthemum s. Snowcap,1 GAL
1951,Delphinium Magic Fountains Sky,2 GAL
1955,Heuchera Plum Pudding,2 GAL
1958,Monarda x Sugar Buzz® Rock PW,1 GAL
1959,Perovskia a. Crazy Blue,2 GAL
1961,Tiarella cord. Sugar & Spice,1 GAL
2022,Echinacea PowWow® Wild Berry,1 GAL
2025,Geranium Rozanne,2 GAL
2164,Echinacea p. Purple Emperor,1 GAL
2263,Anemone x hy. Honorine Jober,2 GAL
2286,Heuchera Peach Flambe,1 GAL
2289,Perovskia a. Blue Jean Baby,1 GAL
2290,Salvia n. Rose Marvel,1 GAL
2293,Sedum spec. Autumn Joy,2 GAL
2659,Sempervivum arachn. Ruby Heart,QUART
2662,Allium x Millenium,2 GAL
2663,Amsonia tab. Blue Ice,1 GAL
2664,Astilbe x a. Bridal Veil (Brau,1 GAL
2665,Astilbe x a. Fanal,2 GAL
2670,Delphinium Magic Fountain DK B,2 GAL
2672,Digitalis p. Camelot Rose,3 GAL
2676,Echinacea Sombrero™ Hot Coral,1 GAL
2688,Lavandula x. i. Phenomenal®,1 GAL
2689,Leucanthemum s. Whoops-a-Daisy,2 GAL
2690,Lilium as Trendy Nicosia,2 GAL
2691,Lilium as.Trendy Savannah,2 GAL
2692,Lupinus p. Westcountry™ Des PW,2 GAL
2693,Lupinus p. Westcountry™ Per PW,2 GAL
2694,Monarda x Sugar Buzz® Pink PW,2 GAL
2695,Perovskia a. Blue Jean Baby,2 GAL
278,Agastache x Blue Fortune,2 GAL
2872,Salvia Caradonna,2 GAL
2873,Salvia n. May Night,2 GAL
2874,Sedum spec. Autumn Fire,2 GAL
2875,Stachys byzantina Fuzzy Wuzzy,1 GAL
2876,Veronica spicata Blue Carpet,1 GAL
2877,Veronica spicata Red Fox,2 GAL
2878,Veronica spicata Royal Candles,2 GAL
2884,Thymus coccineus,PINT
2889,Heuchera Plum Pudding,1 GAL
2890,Leucanthemum s. Snow Lady,1 GAL
2891,Phlox s. Emerald Blue,1 GAL
2894,Salvia n. East Friesland,2 GAL
2895,Salvia n. May Night,1 GAL
2896,Thymus coccineus,"4"""
2984,Salvia Blue Hill Sage,2 GAL
2986,Monarda x Sugar Buzz® Rock PW,2 GAL
2988,Monarda x Sugar Buzz®Cherry,2 GAL
2989,Lysimachia nummularia,1 GAL
2991,Kniphofia u. Pyromania® Or PW,2 GAL
2997,Brunnera m. Jack Frost,1 GAL
3015,Alchemilla mollis,2 GAL
3016,Astilbe x a. Snowdrift,1 GAL
3018,Lavandula x. i. Phenomenal®,"6"""
3020,Stachys byz. Helene von Stein,1 GAL
3067,Lupinus p. Mini Gallery™,PINT
3072,Hibiscus m. Berry Awesome® PW,2 GAL
3161,Nepeta x f. Junior Walker,2 GAL
3210,Sedum spec. Autumn Fire,1 GAL
3717,Astilbe x a. Fanal,1 GAL
3908,Artemesia s. Silvermound,1 GAL
3909,Astilbe s. Hennie Graafland,1 GAL
3912,Leucanthemum s. Becky,2 GAL
3913,Monarda x Sugar Buzz®Cherry,1 GAL
4042,Campanula g. Freya,2 GAL
4065,Phlox s. Emerald Pink,1 GAL
4077,Heuchera Dolce® Wildberry PW,1 GAL
4081,Monarda Leading Lady Plum® PW,1 GAL
4082,Perovskia a. Denim 'n Lace® PW,1 GAL
4084,Salvia Color Spires® Back PW,1 GAL
4085,Salvia n. Pink Profusion® PW,1 GAL
4105,Monarda x Sugar Buzz®Blue Moon,1 GAL
4106,Monarda d. Bubblegum Blast,1 GAL
4109,Sedum rupestre Angelina,1 GAL
4118,Phlox d. Blue Moon,QUART
4119,Astilbe x Delft Lace,2 GAL
4122,Coreopsis v. Zagreb,1 GAL
4125,Salvia n. Snow Hill,2 GAL
4127,Lavandula a. Munstead,"6""/TRAY"
4130,Nepeta x f. Kit Kat,2 GAL
4132,Sedum x Sunsparkler® Widfire,1 GAL
4133,Sedum x SunSparkler® Firecrack,1 GAL
4180,Alcea r. Sp.C ™  Carmine Rose,2 GAL
4181,Alcea r. SprCeleb™ Lemon,2 GAL
4186,Gaillardia Spintop Copper Sun,1 GAL
4188,Hibiscus m. Head Over Heels®,2 GAL
4190,Nepeta x f. Purrsian Blue,1 GAL
4191,Lilium as. Matrix,2 GAL
4192,Lilium as. Matrix Orange® DG,2 GAL
4204,Echinacea p. White Swan,PINT
4209,Nepeta x Cat's Pajamas PW®,1 GAL
4249,Agastache x Blue Fortune,1 GAL
4251,Aruncus x Misty Lace,2 GAL
4252,Astilbe x Delft Lace,1 GAL
4255,Geranium Johnsons Blue,1 GAL
4257,Dianthus Vivid Bright Light,1 GAL
4259,Echinacea Double Scoop™ Raspbe,1 GAL
4260,Echinacea p. Prairie Splendor,1 GAL
4262,Echinacea Sombrero™ Lemon,1 GAL
4265,Hibiscus m. Summer® Cherry PW,2 GAL
4266,Hibiscus m. Summer® Holy PW,2 GAL
4267,Iris e. Wave Action,2 GAL
4268,Geum f. p.Totallly Tangerine,1 GAL
4296,Dianthus Star Single™ Peppermi,1 GAL
4297,Hibiscus m. Az. Blue Satin® PW,3 GAL
4443,Lavandula a. Hidcote,2 GAL
5039,Coral Bells Christa,1 GAL
5132,Alcea r. SpringCeleb™ Apricot,2 GAL
5134,Alcea r. SprCeleb™ Purple,2 GAL
5135,Amsonia hubrichtii,1 GAL
5136,Aquilegia v. Clementine Blue,2 GAL
5138,Aquilegia v. Clementine Red,2 GAL
5139,Astilbe x Younique Raspberry,1 GAL
5140,Brunnera  m. Sterling Silver,1 GAL
5141,Dianthus Paint the Town Red®PW,1 GAL
5142,Dianthus Pink Kisses®,1 GAL
5147,Geum f. p. Blazing Sunset,2 GAL
5151,Heuchera Primo® Black Pearl PW,1 GAL
5152,Hibiscus m. Summer® French PW,2 GAL
5163,Leucanthemum s.BananaCr. II PW,1 GAL
5165,Polemonium r. Touch of Class,1 GAL
5168,Salvia n. Violet Profusion® PW,1 GAL
5258,Paeonia l. Sarah Bernhardt Red,2 GAL
5434,Paeonia l. Karl Rosenfield,2 GAL
5500,Chelone l.Tiny Tortuga,1 GAL
5501,Eupatorium d. Little Joe,2 GAL
5502,Sempervivum arachnoides Hen's,1 GAL
5515,Delphinium Magic Fountains Mix,2 GAL
5516,Dianthus Early Bird™ Radiance,1 GAL
5518,Lavandula a. Sweet Romance®PW,1 GAL
5537,Anemone x hy. Honorine Jober,1 GAL
5542,Lavandula x. i. Sensational!®,1 GAL
5546,Lavandula a. Hidcote,"6"""
5547,Lavandula x. i. Phenomenal®,"6"""
5551,Echinacea Sombrero™ Sangrita,1 GAL
5558,Delphinium Magic Fountain Blue,2 GAL
5562,Dianthus Frosty Fire,1 GAL
5573,Geranium Album,1 GAL
5579,Platycodon g. Astra Semi-Dbl B,QUART
5580,Stachys byz. Silver Carpet,1 GAL
5586,Platycodon g. Pop Star™ Pink,1 GAL
5588,Platycodon g. Pop Star™ Blue,1 GAL
5589,Perovskia a. Little Spire,2 GAL
5590,Sedum spur. Flaming Carpet,1 GAL
5604,Alcea r. Blacknight,1 GAL
5607,Astilbe x j. Peach Blossom,1 GAL
5612,Stachys off. Pink Cotton Candy,1 GAL
5613,Salvia Blue Hill Sage,1 GAL
5615,Artemisia s. Silvermound,2 GAL
5636,Sedum x SunSparkler® Dazzleber,1 GAL
5637,Allium x Millenium,1 GAL
5638,Gaillardia x gr. Mesa Red,1 GAL
5641,Lilium or. Stargazer,3 GAL
5661,Anemone v. Robustissima,1 GAL
5668,Perovskia a. Crazy Blue,1 GAL
5738,Nepeta x f. Cat's Meow,1 GAL
5743,Heuchera Primo® Peachberry Ice,1 GAL
5748,Veronica Magic Show® Pink PoPW,1 GAL
5763,Perovskia a. Little Spire,1 GAL
5765,Rudbeckia f. Goldsturm,1 GAL
5766,Salvia n. Snow Hill,1 GAL
5769,Echinacea Cheyenne Spirit,1 GAL
5778,Heuchera Palace Purple,1 GAL
5792,Fern-Adiantum pedatum,1 GAL
5814,Dicentra exima,2 QUART
5817,Helleborus Winter Magic™ Snow,1 GAL
5818,Lamium m. White Nancy,2 QUART
5843,Sedum spec. Autumn Joy,1 GAL
6047,Brunnera m. Jack Of Diamonds,1 GAL
6048,Clematis kivistik Huvi™,1 GAL
6049,Clematis Marie Louise Jensen™,1 GAL
6054,Heuchera Grape Soda,1 GAL
6055,Heuchera North Exposure™Sienna,1 GAL
6057,Lupinus p. Westcountry™ Red PW,2 GAL
6062,Delosperma Red Mt® Flame,1 GAL
6063,Dianthus x. Fruit Punch® Class,1 GAL
6134,Astilbe x j. Montgomery,2 GAL
6135,Astilbe c. Visions in Red,2 GAL
6142,Lavandula a. Munstead,1 GAL
6143,Phlox p. Flame® Red,1 GAL
6144,Sedum x Rock N' Round® Back PW,1 GAL
6146,Sedum x Trailing Trio™,1 GAL
6147,Sempervivum a. Supersemp® Onyx,1 GAL
6148,Sempervivum a. Supersemp® Ruby,1 GAL
6180,Baptisia x Lemon Meringue® PW,1 GAL
6187,Paeonia l. Duchesse de Nemours,2 GAL
6196,Geum f. p.Totallly Tangerine,2 GAL
6198,Thymus serpyll. 'Wooly Mother',PINT.
6201,Sedum rupestre Angelina,1 QT
6229,Pachysandra terminalis,1/2 FLAT
6259,Lavandula a. Super Blue,1 GAL
6290,Lavandula a. Munstead,"6"""
6291,Lavandula a. Super Blue,"6"""
6294,Kniphofia u. First Sunrise,2 GAL
6295,Campsis radicans f.  Flava,3 GAL
6312,Sedum ka. Little Miss Sunshine,1 QT
6313,Sempervivum arachn. Black,1 QT
6314,Sempervivum arachn. Blue Ice,1 GAL
6315,Hibiscus m. Evening Rose® PW,2 GAL
6317,Lavandula x. i. Sensational!®,"6"""
6323,Achillea m. New Vintage™ White,1 GAL
6330,Anemone Curtain Call Rose,1 GAL
6331,Sedum x Rock N' Round® Pop PW,1 GAL
6332,Sedum x Rock N' Round® Pure PW,1 GAL
6348,Digitalis p. Dalmation Peach,3 GAL
6350,Echinacea Sombrero™ Summer Sol,1 GAL
6351,Echinacea Color Coded® Yellow,1 GAL
6424,Anemone Red Riding Hood,1 GAL
6425,Aster n. Island Barbados®,1 GAL
6426,Coreopsis v. Zagreb,2 GAL
6428,Delphinium g. Blue Mirror,1 GAL
6429,Heuchera Grape Timeless,1 GAL
6430,Sedum x Rock N' Round® Bund PW,1 GAL
6431,Sempervivum arachn. Blue Ice,1 GAL.
6451,Astilbe x a. Snowdrift,2 GAL
6453,Echinacea Sombrero™ Adobe Oran,1 GAL
6672,Aster n. Purple Dome,1 GAL
6673,Aster laevis Bluebird,1 GAL
6678,Perovskia atriplicifolia,1 GAL
6679,Salvia Color Spires® Pink PW,1 GAL
6680,Sedum x Rock N' Round® Cora PW,1 GAL
6683,Aster n. Pink Crush,1 GAL
6684,Anemone Fantasy™Snow Angel,1 GAL
6685,Liatris cylindracea,1 GAL
6686,Sedum spur. Neon,1 GAL
6687,Heuchera North Exposure™ Black,1 GAL
6693,Anemone Whirlwind,1 GAL
6695,Echinacea p. Ruby Star,1 GAL
6696,Echinacea Lakota™ Fire,1 GAL
6698,Liatris spicata Kobold Origina,2 GAL
6700,Phlox p. Bambini® Desire,1 GAL
6701,Phlox p. Bambini® Lucky Lilac,1 GAL
6702,Phlox p. Flame® Blue,1 GAL
6703,Phlox p. Flame® Purple,1 GAL
6704,Phlox p. Flame® White,1 GAL
6705,Phlox p. Garden Girls™ Party P,2 GAL
6706,Phlox p. Ditomsur Candy Store®,1 GAL
6707,Phlox p. Luminary® Backligh PW,2 GAL
6708,Phlox p. Luminary® Opalesce PW,2 GAL
6709,Phlox p. Nicky,2 GAL
6710,Phlox x Amethyst pearl,2 GAL
6711,Phlox x Opening Act Blush® PW,2 GAL
6712,Phlox x Opening Act Pink® PW,2 GAL
6713,Sedum x Rock N' Round® Pure PW,1 GAL
6714,Echinacea Cheyenne Spirit,2 GAL
6724,Allium lust. Summer Beauty,1 GAL
6728,Bergenia c. Miss Piggy® PW,1 GAL.
6729,Geranium s. Max Frei,1 GAL
6738,Paeonia x Duchesse De Lorraine,3 GAL
6739,Paeonia x Julia Rose,3 GAL
6740,Paeonia x Mock Orange Yellow,3 GAL
6741,Paeonia x Pink Double Dandy,3 GAL
6881,Achillea m. Sunny Seduction,1 GAL
6882,Allium x Medusa,2 GAL
6883,Aquilegia Kirigami Blue & Whit,2 GAL
6884,Aquilegia Kirigami Red & White,2 GAL
6885,Aquilegia v. Dble Red & White,2 GAL
6886,Eupatorium r. Chocolate,2 GAL
6887,Geranium x Apple Blossom,1 GAL
6888,Heuchera North Exposure™ Red,1 GAL
6889,Leucanthemum s. Marshmallow,1 GAL
6890,Lupinus p. Westcountry™ Sal PW,2 GAL
6891,Lupinus p. Westcountry™ Teq PW,2 GAL
6917,Lamium m. Orchid Frost,PINT
6921,Lysimachia nummularia,PINT
6922,Phlox s. Emerald Blue,PINT
6923,Phlox s. Emerald Pink,PINT
6924,Sagina subulata,PINT.
6925,Sedum rupestre Angelina,PINT
6926,Sedum spur. John Creech,PINT
6927,Sedum spur. Tricolor,PINT
6928,Thymus serpyll. 'Magic Carpet',6 PACK
6929,Veronica spicata Blue Carpet,PINT
6930,Echinacea Cheyenne Spirit,QUART
6931,Echinacea PowWow® White,QUART
6932,Echinacea PowWow® Wild Berry,QUART
6936,Lamium m. Purple Dragon,QUART
6937,Lavandula a. Hidcote,QUART
6938,Lavandula a. Munstead,QUART
6939,Lavandula x. i. Phenomenal®,QUART
6940,Nepeta x f. Kitten Around,QUART
6941,Nepeta x f. Purrsian Blue,QUART
6942,Rudbeckia f. Goldsturm,QUART
6943,Sedum x SunSparkler® Firecrack,QUART
6944,Sedum spur. Little Chicky,QUART
6945,Lupinus p. Westcountry™ Man PW,2 GAL
6946,Sedum tern.Tiny Towers,QUART
6947,Baptisia x  Amer. Goldfinch®,2 GAL
6948,Baptisia x Decadence® Blue PW,2 GAL
6949,Dicentra Pink Diamonds,1 GAL
6950,Geranium Spiked Punch™,1 GAL
6951,Heuchera Dolce®Cherry Truffles,1 GAL
6952,Heuchera Smoke & Mirrors,1 GAL
6954,Polygonatum o. Variegatum,2 GAL.
6955,Tiarella cord. Angel Wings™,1 GAL
6956,Clematis Westerplatte,1 GAL
6959,Sedum spur. John Creech,24 CELL TRAY
6961,Geranium Spiked Punch™,QUART
6962,Lavandula x. i. Sensational!®,2 GAL
6963,Lavandula a. Super Blue,2 GAL
6964,Achillea m. New Vintage™ Red,1 GAL
6965,Astilbe x a. Moccachino,2 GAL
6967,Ligularia x Bottle Rocket® PW,1 GAL.
6968,Sedum ka. Little Miss Sunshine,1 GAL
6969,Sedum sieblodii,1 GAL
6978,Campsis radicans f. Flava,2 GAL
6980,Paeonia I. Red Charm,2 GAL
6988,Aquilegia v. Winky Dbl Red,2 GAL
6990,Alcea f. Chater's Double,QUART
6991,Echinacea p. Prairie Splendor,QUART
6992,Monarda d. Petite Delight,QUART
6993,Stachys monieri Hummelo,QUART
6994,Astilbe s. Hennie Graafland,2 GAL
6995,Geranium x Apple Blossom,2 GAL
6996,Tiarella cord. Fingerpaint,1 GAL
7001,Alchemilla ser. Gold Strike,1 GAL
7002,Amsonia h String Theory® PW,1 GAL
7003,Amsonia x Starstruck,1 GAL
7005,Echinacea p. Bright Star,1 GAL
7006,Monarda d. Jacob Cline,1 GAL
7007,Monarda x Upscale® Red Velv PW,1 GAL
7008,Phlox p. Luminary® Backligh PW,1 GAL
7009,Phlox p. Luminary® Ultravio PW,1 GAL
7010,Sedum x SunSparkler® Cherry,1 GAL
7020,Allium x Millenium,QUART
7021,Echinacea x  Artisan™ Orange,QUART
7022,Echinacea x Artisan™ Red Ombre,QUART
7023,Echinacea Sombrero™ Hot Coral,QUART
7024,Kniphofia u. Flamenco Mix,2 GAL
3723,Vinca minor,1 GAL
1574,M-Potting Soil,CUBIC YARD
10006,Ilex m. Blue Prince,"5 GAL 18/24"""
10031,Picea p. Globosa,2 GAL
10117,Planting - No Guarantee,Each
10139,Cercis c. Flame Thrower®,7 Gal TF
10141,Hemerocallis Rainbow Rhythm®,2 GAL
10148,Cercis c. Rising Star,7 Gal TF
10149,Sambucus c. Adams,3 GAL
10151,Cotinus x Grace,7 gal
10156,Itea v. Merlot,3 GAL
10159,Viburnum pl. f. tom. Popcorn,7 gal
10218,Nyssa s. Wild Fire,20 gal
10219,Magnolia s.Centennial Blush FE,3 GAL
10224,Viburnum Summer Snowflake,3 GAL
10227,Ilex crenata Steeds,3 GAL
10228,Prunus Contender Peach,7 gal
10248,Vaccinium corymb.Pink Lemonade,3 GAL
10250,Buxus m. var. j. Wintergreen,10 gal
